Region,Country,Item Type,Order Priority,Order Date,Ship Date,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Profit Margin per Product,Processing Time,Processing Time (days),Order Year,Sales Channel
Europe,Greece,Cereal,M,2010-01-10,2010-02-26,205.7,117.11,1721091.9,979859.37,741232.53,88.58999999999999,47 days,47,2010,Offline
Europe,Italy,Clothes,H,2010-01-10,2010-01-31,109.28,35.84,438322.08,143754.24,294567.84,73.44,21 days,21,2010,Online
Europe,Armenia,Baby Food,M,2010-02-10,2010-02-26,255.28,159.42,1272060.24,794389.86,477670.38,95.86,16 days,16,2010,Offline
Europe,Finland,Cereal,M,2010-04-10,2010-05-20,205.7,117.11,299910.6,170746.38,129164.22,88.58999999999999,40 days,40,2010,Online
Europe,Austria,Personal Care,M,2010-05-10,2010-06-07,81.73,56.67,518822.04,359741.16,159080.88,25.06,28 days,28,2010,Offline
Europe,Armenia,Personal Care,C,2010-12-10,2010-12-26,81.73,56.67,375385.89,260285.31,115100.58,25.06,16 days,16,2010,Online
Europe,Romania,Snacks,C,2010-01-11,2010-01-18,152.58,97.44,1299523.86,829896.48,469627.38,55.140000000000015,7 days,7,2010,Offline
Europe,Portugal,Baby Food,C,2010-01-11,2010-01-27,255.28,159.42,1592436.64,994461.96,597974.68,95.86,16 days,16,2010,Online
Europe,Georgia,Meat,M,2010-02-11,2010-03-06,421.89,364.69,3550626.24,3069231.04,481395.2,57.19999999999999,23 days,23,2010,Offline
Europe,Iceland,Clothes,C,2010-11-11,2010-12-19,109.28,35.84,109717.12,35983.36,73733.76,73.44,38 days,38,2010,Online
Europe,Serbia,Clothes,L,2010-01-12,2010-01-31,109.28,35.84,627485.76,205793.28,421692.48,73.44,19 days,19,2010,Offline
Europe,Bosnia and Herzegovina,Personal Care,L,2010-01-12,2010-01-18,81.73,56.67,778723.44,539951.76,238771.68,25.06,6 days,6,2010,Online
Europe,Liechtenstein,Meat,H,2010-07-12,2010-07-14,421.89,364.69,3016935.39,2607898.19,409037.2,57.19999999999999,2 days,2,2010,Offline
Europe,Moldova ,Beverages,H,2010-09-12,2010-09-20,47.45,31.79,346195.2,231939.84,114255.36,15.660000000000004,8 days,8,2010,Online
Europe,Serbia,Beverages,C,2010-10-12,2010-12-01,47.45,31.79,218981.75,146710.85,72270.9,15.660000000000004,50 days,50,2010,Offline
Europe,Luxembourg,Snacks,H,2011-02-01,2011-03-10,152.58,97.44,145713.9,93055.2,52658.7,55.140000000000015,37 days,37,2011,Online
Europe,Kosovo,Meat,H,2011-02-01,2011-02-17,421.89,364.69,3207629.67,2772738.07,434891.6,57.19999999999999,16 days,16,2011,Offline
Europe,Monaco,Clothes,L,2011-01-02,2011-01-11,109.28,35.84,1061218.08,348042.24,713175.84,73.44,9 days,9,2011,Online
Europe,Armenia,Snacks,M,2011-03-02,2011-04-15,152.58,97.44,607115.82,387713.76,219402.06,55.140000000000015,44 days,44,2011,Offline
Europe,Vatican City,Snacks,L,2011-06-02,2011-07-01,152.58,97.44,307143.54,196146.72,110996.82,55.140000000000015,29 days,29,2011,Online
Europe,Belarus,Cosmetics,M,2011-09-02,2011-10-21,437.2,263.33,3645373.6,2195645.54,1449728.06,173.87,49 days,49,2011,Offline
Europe,Slovenia,Beverages,M,2011-02-03,2011-02-27,47.45,31.79,351319.8,235373.16,115946.64,15.660000000000004,24 days,24,2011,Online
Europe,Croatia,Snacks,M,2011-03-03,2011-04-17,152.58,97.44,52945.26,33811.68,19133.58,55.140000000000015,45 days,45,2011,Offline
Europe,Kosovo,Cosmetics,M,2011-06-03,2011-06-21,437.2,263.33,4100498.8,2469772.07,1630726.73,173.87,18 days,18,2011,Online
Europe,Andorra,Snacks,L,2011-02-04,2011-03-22,152.58,97.44,923719.32,589901.76,333817.56,55.140000000000015,46 days,46,2011,Offline
Europe,Netherlands,Beverages,H,2011-02-04,2011-03-10,47.45,31.79,182018.2,121946.44,60071.76,15.660000000000004,34 days,34,2011,Online
Europe,Denmark,Fruits,L,2011-03-04,2011-03-21,9.33,6.92,52630.53,39035.72,13594.81,2.41,17 days,17,2011,Offline
Europe,Belgium,Fruits,M,2011-05-04,2011-05-14,9.33,6.92,64600.92,47914.08,16686.84,2.41,10 days,10,2011,Online
Europe,Vatican City,Beverages,L,2011-11-04,2011-12-22,47.45,31.79,233643.8,156533.96,77109.84,15.660000000000004,48 days,48,2011,Offline
Europe,Belarus,Vegetables,C,2011-01-05,2011-01-12,154.06,90.93,1038364.4,612868.2,425496.2,63.13,7 days,7,2011,Online
Europe,Andorra,Cereal,L,2011-04-05,2011-05-17,205.7,117.11,434232.7,247219.21,187013.49,88.58999999999999,42 days,42,2011,Offline
Europe,Malta,Office Supplies,M,2011-05-05,2011-05-22,651.21,524.96,5768418.18,4650095.68,1118322.5,126.25,17 days,17,2011,Online
Europe,Austria,Vegetables,L,2011-05-05,2011-06-19,154.06,90.93,957020.72,564857.16,392163.56,63.13,45 days,45,2011,Offline
Europe,Armenia,Beverages,H,2011-06-05,2011-06-29,47.45,31.79,313739.4,210195.48,103543.92,15.660000000000004,24 days,24,2011,Online
Europe,Czech Republic,Snacks,M,2011-07-05,2011-07-30,152.58,97.44,730705.62,466640.16,264065.46,55.140000000000015,25 days,25,2011,Offline
Europe,Poland,Beverages,H,2011-07-05,2011-07-22,47.45,31.79,169586.3,113617.46,55968.84,15.660000000000004,17 days,17,2011,Online
Europe,Cyprus,Cereal,H,2011-07-05,2011-08-06,205.7,117.11,116631.9,66401.37,50230.53,88.58999999999999,32 days,32,2011,Offline
Europe,Vatican City,Snacks,L,2011-11-05,2011-11-24,152.58,97.44,458655.48,292904.64,165750.84,55.140000000000015,19 days,19,2011,Online
Europe,Spain,Beverages,M,2011-12-05,2011-12-07,47.45,31.79,459268.55,307695.41,151573.14,15.660000000000004,2 days,2,2011,Offline
Europe,Ireland,Office Supplies,C,2011-01-06,2011-02-19,651.21,524.96,811407.66,654100.16,157307.5,126.25,44 days,44,2011,Online
Europe,Hungary,Baby Food,H,2011-05-06,2011-06-25,255.28,159.42,1661617.52,1037664.78,623952.74,95.86,50 days,50,2011,Offline
Europe,Poland,Cereal,C,2011-08-06,2011-09-06,205.7,117.11,97707.5,55627.25,42080.25,88.58999999999999,31 days,31,2011,Online
Europe,Czech Republic,Meat,L,2011-08-06,2011-09-24,421.89,364.69,4117224.51,3559009.71,558214.8,57.19999999999999,49 days,49,2011,Offline
Europe,Austria,Fruits,H,2011-08-06,2011-09-20,9.33,6.92,28381.86,21050.64,7331.22,2.41,45 days,45,2011,Online
Europe,Ukraine,Vegetables,C,2011-11-06,2011-11-25,154.06,90.93,892623.64,526848.42,365775.22,63.13,19 days,19,2011,Offline
Europe,Luxembourg,Fruits,L,2011-12-06,2012-01-07,9.33,6.92,5728.62,4248.88,1479.74,2.41,32 days,32,2011,Online
Europe,Albania,Clothes,M,2011-04-07,2011-04-18,109.28,35.84,1075643.04,352773.12,722869.92,73.44,11 days,11,2011,Offline
Europe,Luxembourg,Fruits,H,2011-10-07,2011-11-14,9.33,6.92,45772.98,33949.52,11823.46,2.41,38 days,38,2011,Online
Europe,Poland,Cereal,L,2011-10-07,2011-11-02,205.7,117.11,1671106.8,951401.64,719705.16,88.58999999999999,26 days,26,2011,Offline
Europe,Luxembourg,Personal Care,M,2011-12-07,2011-12-21,81.73,56.67,552903.45,383372.55,169530.9,25.06,14 days,14,2011,Online
Europe,Estonia,Vegetables,L,2011-12-07,2011-12-27,154.06,90.93,998462.86,589317.33,409145.53,63.13,20 days,20,2011,Offline
Europe,Greece,Vegetables,L,2011-01-08,2011-01-12,154.06,90.93,623326.76,367902.78,255423.98,63.13,4 days,4,2011,Online
Europe,Serbia,Vegetables,M,2011-03-08,2011-03-09,154.06,90.93,1148363.24,677792.22,470571.02,63.13,1 days,1,2011,Offline
Europe,Czech Republic,Cereal,M,2011-07-08,2011-08-05,205.7,117.11,1855825.4,1056566.42,799258.98,88.58999999999999,28 days,28,2011,Online
Europe,Italy,Office Supplies,C,2011-07-08,2011-07-25,651.21,524.96,6155888.13,4962446.88,1193441.25,126.25,17 days,17,2011,Offline
Europe,Greece,Personal Care,M,2011-12-08,2012-01-06,81.73,56.67,705002.98,488835.42,216167.56,25.06,29 days,29,2011,Online
Europe,Iceland,Cosmetics,M,2011-02-09,2011-03-29,437.2,263.33,882706.8,531663.27,351043.53,173.87,48 days,48,2011,Offline
Europe,Lithuania,Fruits,M,2011-03-09,2011-03-19,9.33,6.92,88271.13,65470.12,22801.01,2.41,10 days,10,2011,Online
Europe,Ireland,Vegetables,M,2011-04-09,2011-05-23,154.06,90.93,1244188.56,734350.68,509837.88,63.13,44 days,44,2011,Offline
Europe,Vatican City,Cereal,M,2011-06-09,2011-07-14,205.7,117.11,426416.1,242769.03,183647.07,88.58999999999999,35 days,35,2011,Online
Europe,Spain,Fruits,H,2011-10-09,2011-11-25,9.33,6.92,69928.35,51865.4,18062.95,2.41,47 days,47,2011,Offline
Europe,Romania,Fruits,M,2011-10-09,2011-11-24,9.33,6.92,28633.77,21237.48,7396.29,2.41,46 days,46,2011,Online
Europe,Kosovo,Office Supplies,C,2011-11-09,2011-11-26,651.21,524.96,22792.35,18373.6,4418.75,126.25,17 days,17,2011,Offline
Europe,Norway,Cosmetics,L,2011-12-09,2012-01-28,437.2,263.33,4211984.8,2536921.22,1675063.58,173.87,50 days,50,2011,Online
Europe,Montenegro,Vegetables,H,2011-04-10,2011-05-26,154.06,90.93,1366358.14,806458.17,559899.97,63.13,46 days,46,2011,Offline
Europe,Ireland,Beverages,M,2011-06-10,2011-07-03,47.45,31.79,105671.15,70796.33,34874.82,15.660000000000004,23 days,23,2011,Online
Europe,Italy,Clothes,H,2011-06-10,2011-06-25,109.28,35.84,492524.96,161530.88,330994.08,73.44,15 days,15,2011,Offline
Europe,Slovakia,Snacks,M,2011-06-10,2011-07-17,152.58,97.44,416085.66,265718.88,150366.78,55.140000000000015,37 days,37,2011,Online
Europe,Armenia,Cereal,H,2011-09-10,2011-10-14,205.7,117.11,1037962.2,590937.06,447025.14,88.58999999999999,34 days,34,2011,Offline
Europe,Bosnia and Herzegovina,Clothes,M,2011-10-10,2011-11-21,109.28,35.84,195501.92,64117.76,131384.16,73.44,42 days,42,2011,Online
Europe,Ukraine,Cereal,C,2011-10-10,2011-11-08,205.7,117.11,176696.3,100597.49,76098.81,88.58999999999999,29 days,29,2011,Offline
Europe,Iceland,Meat,H,2011-05-11,2011-05-18,421.89,364.69,2099746.53,1815062.13,284684.4,57.19999999999999,7 days,7,2011,Online
Europe,Greece,Personal Care,L,2011-09-11,2011-10-12,81.73,56.67,623027.79,431995.41,191032.38,25.06,31 days,31,2011,Offline
Europe,France,Office Supplies,C,2011-07-12,2011-08-04,651.21,524.96,2826902.61,2278851.36,548051.25,126.25,23 days,23,2011,Online
Europe,Czech Republic,Beverages,C,2011-09-12,2011-09-29,47.45,31.79,226716.1,151892.62,74823.48,15.660000000000004,17 days,17,2011,Offline
Europe,Spain,Vegetables,M,2011-11-12,2011-12-14,154.06,90.93,680791.14,401819.67,278971.47,63.13,32 days,32,2011,Online
Europe,Russia,Personal Care,H,2011-11-12,2011-12-16,81.73,56.67,28115.12,19494.48,8620.64,25.06,34 days,34,2011,Offline
Europe,Romania,Cosmetics,M,2011-12-12,2011-12-24,437.2,263.33,3847797.2,2317567.33,1530229.87,173.87,12 days,12,2011,Online
Europe,France,Vegetables,L,2012-02-01,2012-02-02,154.06,90.93,847946.24,500478.72,347467.52,63.13,1 days,1,2012,Offline
Europe,Italy,Baby Food,H,2012-03-01,2012-03-22,255.28,159.42,1922003.12,1200273.18,721729.94,95.86,21 days,21,2012,Online
Europe,Bosnia and Herzegovina,Household,M,2012-03-01,2012-03-27,668.27,502.54,4841616.15,3640902.3,1200713.85,165.72999999999996,26 days,26,2012,Offline
Europe,Cyprus,Snacks,H,2012-10-01,2012-10-30,152.58,97.44,467505.12,298556.16,168948.96,55.140000000000015,29 days,29,2012,Online
Europe,Kosovo,Cosmetics,C,2012-11-01,2012-11-13,437.2,263.33,794829.6,478733.94,316095.66,173.87,12 days,12,2012,Offline
Europe,Czech Republic,Fruits,M,2012-11-01,2012-12-16,9.33,6.92,2929.62,2172.88,756.74,2.41,45 days,45,2012,Online
Europe,Belgium,Office Supplies,L,2012-12-01,2012-12-02,651.21,524.96,3528906.99,2844758.24,684148.75,126.25,1 days,1,2012,Offline
Europe,San Marino,Beverages,L,2012-01-02,2012-01-02,47.45,31.79,243038.9,162828.38,80210.52,15.660000000000004,0 days,0,2012,Online
Europe,Kosovo,Fruits,C,2012-03-02,2012-03-26,9.33,6.92,91629.93,67961.32,23668.61,2.41,24 days,24,2012,Offline
Europe,Bosnia and Herzegovina,Vegetables,C,2012-03-02,2012-04-16,154.06,90.93,467572.1,275972.55,191599.55,63.13,45 days,45,2012,Online
Europe,Austria,Beverages,C,2012-04-02,2012-05-01,47.45,31.79,420549.35,281754.77,138794.58,15.660000000000004,29 days,29,2012,Offline
Europe,Italy,Clothes,M,2012-04-02,2012-04-26,109.28,35.84,695020.8,227942.4,467078.4,73.44,24 days,24,2012,Online
Europe,Latvia,Beverages,M,2012-05-02,2012-05-28,47.45,31.79,21874.45,14655.19,7219.26,15.660000000000004,26 days,26,2012,Offline
Europe,Ireland,Clothes,C,2012-10-02,2012-10-03,109.28,35.84,1092362.88,358256.64,734106.24,73.44,1 days,1,2012,Online
Europe,Sweden,Cosmetics,H,2012-06-03,2012-07-05,437.2,263.33,753295.6,453717.59,299578.01,173.87,32 days,32,2012,Offline
Europe,Serbia,Beverages,L,2012-09-03,2012-09-21,47.45,31.79,46406.1,31090.62,15315.48,15.660000000000004,18 days,18,2012,Online
Europe,Armenia,Household,M,2012-09-03,2012-09-24,668.27,502.54,702351.77,528169.54,174182.23,165.72999999999996,21 days,21,2012,Offline
Europe,Germany,Personal Care,L,2012-12-03,2013-01-05,81.73,56.67,5802.83,4023.57,1779.26,25.06,33 days,33,2012,Online
Europe,Liechtenstein,Personal Care,H,2012-01-04,2012-01-11,81.73,56.67,554047.67,384165.93,169881.74,25.06,7 days,7,2012,Offline
Europe,Montenegro,Clothes,C,2012-03-04,2012-03-25,109.28,35.84,1083401.92,355317.76,728084.16,73.44,21 days,21,2012,Online
Europe,Greece,Vegetables,M,2012-10-04,2012-11-04,154.06,90.93,1322759.16,780724.98,542034.18,63.13,31 days,31,2012,Offline
Europe,Switzerland,Vegetables,C,2012-10-04,2012-11-13,154.06,90.93,1245112.92,734896.26,510216.66,63.13,40 days,40,2012,Online
Europe,Latvia,Cosmetics,H,2012-03-05,2012-04-15,437.2,263.33,1931112.4,1163128.61,767983.79,173.87,41 days,41,2012,Offline
Europe,Iceland,Cosmetics,C,2012-04-05,2012-05-16,437.2,263.33,1636439.6,985644.19,650795.41,173.87,41 days,41,2012,Online
Europe,Slovakia,Office Supplies,C,2012-05-05,2012-06-15,651.21,524.96,4970685.93,4007019.68,963666.25,126.25,41 days,41,2012,Offline
Europe,Hungary,Vegetables,M,2012-06-05,2012-07-18,154.06,90.93,1104764.26,652059.03,452705.23,63.13,43 days,43,2012,Online
Europe,Norway,Vegetables,H,2012-07-05,2012-08-14,154.06,90.93,669236.64,394999.92,274236.72,63.13,40 days,40,2012,Offline
Europe,Albania,Vegetables,C,2012-10-05,2012-11-03,154.06,90.93,818058.6,482838.3,335220.3,63.13,29 days,29,2012,Online
Europe,Cyprus,Snacks,M,2012-11-05,2012-12-11,152.58,97.44,935010.24,597112.32,337897.92,55.140000000000015,36 days,36,2012,Offline
Europe,Czech Republic,Household,H,2012-12-05,2012-12-17,668.27,502.54,967654.96,727677.92,239977.04,165.72999999999996,12 days,12,2012,Online
Europe,Lithuania,Cosmetics,L,2012-01-06,2012-02-18,437.2,263.33,2283495.6,1375372.59,908123.01,173.87,43 days,43,2012,Offline
Europe,Cyprus,Clothes,H,2012-01-06,2012-01-30,109.28,35.84,710975.68,233175.04,477800.64,73.44,24 days,24,2012,Online
Europe,San Marino,Personal Care,L,2012-01-06,2012-01-27,81.73,56.67,391977.08,271789.32,120187.76,25.06,21 days,21,2012,Offline
Europe,Slovenia,Personal Care,L,2012-02-06,2012-02-22,81.73,56.67,254915.87,176753.73,78162.14,25.06,16 days,16,2012,Online
Europe,Bosnia and Herzegovina,Vegetables,M,2012-02-06,2012-02-19,154.06,90.93,1195967.78,705889.59,490078.19,63.13,13 days,13,2012,Offline
Europe,Switzerland,Snacks,H,2012-04-06,2012-04-08,152.58,97.44,1269313.02,810603.36,458709.66,55.140000000000015,2 days,2,2012,Online
Europe,Macedonia,Snacks,M,2012-09-06,2012-10-20,152.58,97.44,860398.62,549464.16,310934.46,55.140000000000015,44 days,44,2012,Offline
Europe,Monaco,Vegetables,C,2012-11-06,2012-12-10,154.06,90.93,781392.32,461196.96,320195.36,63.13,34 days,34,2012,Online
Europe,Spain,Fruits,H,2012-12-06,2013-01-16,9.33,6.92,28950.99,21472.76,7478.23,2.41,41 days,41,2012,Offline
Europe,Sweden,Vegetables,C,2012-01-07,2012-01-26,154.06,90.93,1366820.32,806730.96,560089.36,63.13,19 days,19,2012,Online
Europe,Bulgaria,Meat,H,2012-04-07,2012-05-04,421.89,364.69,2730893.97,2360638.37,370255.6,57.19999999999999,27 days,27,2012,Offline
Europe,San Marino,Clothes,M,2012-05-07,2012-05-19,109.28,35.84,929207.84,304747.52,624460.32,73.44,12 days,12,2012,Online
Europe,Ukraine,Cereal,C,2012-08-07,2012-09-15,205.7,117.11,1756472.3,1000002.29,756470.01,88.58999999999999,39 days,39,2012,Offline
Europe,Russia,Beverages,L,2012-08-07,2012-08-27,47.45,31.79,52716.95,35318.69,17398.26,15.660000000000004,20 days,20,2012,Online
Europe,Netherlands,Clothes,H,2012-04-08,2012-05-06,109.28,35.84,325545.12,106767.36,218777.76,73.44,28 days,28,2012,Offline
Europe,Norway,Personal Care,M,2012-06-08,2012-06-17,81.73,56.67,611340.4,423891.6,187448.8,25.06,9 days,9,2012,Online
Europe,Kosovo,Beverages,M,2012-06-08,2012-07-18,47.45,31.79,134710.55,90251.81,44458.74,15.660000000000004,40 days,40,2012,Offline
Europe,United Kingdom,Baby Food,H,2012-07-08,2012-07-29,255.28,159.42,2081042.56,1299591.84,781450.72,95.86,21 days,21,2012,Online
Europe,Estonia,Clothes,H,2012-09-08,2012-09-16,109.28,35.84,548148.48,179773.44,368375.04,73.44,8 days,8,2012,Offline
Europe,Denmark,Clothes,H,2012-05-09,2012-06-03,109.28,35.84,774576.64,254033.92,520542.72,73.44,25 days,25,2012,Online
Europe,Belarus,Snacks,L,2012-09-09,2012-10-22,152.58,97.44,1507490.4,962707.2,544783.2,55.140000000000015,43 days,43,2012,Offline
Europe,Albania,Beverages,C,2012-10-09,2012-10-29,47.45,31.79,53333.8,35731.96,17601.84,15.660000000000004,20 days,20,2012,Online
Europe,Bosnia and Herzegovina,Baby Food,L,2012-10-09,2012-11-28,255.28,159.42,2402184.8,1500142.2,902042.6,95.86,50 days,50,2012,Offline
Europe,Denmark,Clothes,C,2012-11-09,2012-11-12,109.28,35.84,291340.48,95549.44,195791.04,73.44,3 days,3,2012,Online
Europe,Denmark,Baby Food,M,2012-12-09,2013-01-24,255.28,159.42,379090.8,236738.7,142352.1,95.86,46 days,46,2012,Offline
Europe,Andorra,Baby Food,M,2012-01-10,2012-02-23,255.28,159.42,1159737.04,724245.06,435491.98,95.86,44 days,44,2012,Online
Europe,Netherlands,Personal Care,C,2012-03-10,2012-03-25,81.73,56.67,814275.99,564603.21,249672.78,25.06,15 days,15,2012,Offline
Europe,Kosovo,Baby Food,L,2012-06-10,2012-06-29,255.28,159.42,2205874.48,1377548.22,828326.26,95.86,19 days,19,2012,Online
Europe,Czech Republic,Office Supplies,H,2012-05-11,2012-06-30,651.21,524.96,162151.29,130715.04,31436.25,126.25,50 days,50,2012,Offline
Europe,Kosovo,Fruits,L,2012-06-11,2012-07-08,9.33,6.92,59357.46,44025.04,15332.42,2.41,27 days,27,2012,Online
Europe,Bosnia and Herzegovina,Office Supplies,H,2012-07-11,2012-08-13,651.21,524.96,438915.54,353823.04,85092.5,126.25,33 days,33,2012,Offline
Europe,Serbia,Beverages,H,2012-08-11,2012-09-18,47.45,31.79,362897.6,243129.92,119767.68,15.660000000000004,38 days,38,2012,Online
Europe,Italy,Clothes,M,2012-09-11,2012-09-27,109.28,35.84,347510.4,113971.2,233539.2,73.44,16 days,16,2012,Offline
Europe,Bosnia and Herzegovina,Cosmetics,H,2012-02-12,2012-02-20,437.2,263.33,3414969.2,2056870.63,1358098.57,173.87,8 days,8,2012,Online
Europe,Poland,Clothes,M,2012-03-12,2012-04-16,109.28,35.84,536346.24,175902.72,360443.52,73.44,35 days,35,2012,Offline
Europe,Macedonia,Vegetables,C,2012-04-12,2012-04-25,154.06,90.93,1377296.4,812914.2,564382.2,63.13,13 days,13,2012,Online
Europe,Norway,Meat,M,2012-09-12,2012-09-23,421.89,364.69,3456966.66,2988269.86,468696.8,57.19999999999999,11 days,11,2012,Offline
Europe,Liechtenstein,Baby Food,L,2012-10-12,2012-11-01,255.28,159.42,2354447.44,1470330.66,884116.78,95.86,20 days,20,2012,Online
Europe,Sweden,Snacks,C,2013-06-01,2013-06-01,152.58,97.44,834765.18,533094.24,301670.94,55.140000000000015,0 days,0,2013,Offline
Europe,Georgia,Snacks,C,2013-09-01,2013-10-18,152.58,97.44,959880.78,612995.04,346885.74,55.140000000000015,47 days,47,2013,Online
Europe,Moldova ,Clothes,H,2013-09-01,2013-09-10,109.28,35.84,258556.48,84797.44,173759.04,73.44,9 days,9,2013,Offline
Europe,Slovakia,Cosmetics,C,2013-11-01,2013-11-16,437.2,263.33,3032419.2,1826456.88,1205962.32,173.87,15 days,15,2013,Online
